"datasetID","forestRemnantID","decimalLatitude","decimalLongitude","forestRemnantAreaInHectares","matrixType","timeSinceIsolationInYears","firstYearSurvey"
"Claessens2002","i5",4.873229,-53.059586,2,"aquatic",1,1995
"Claessens2002","i53",4.862442,-53.075006,1.5,"aquatic",1,1995
"Claessens2002","i6",4.868693,-53.060577,2.2,"aquatic",1,1995
"Claessens2002","i7",4.8655,-53.070863,0.3,"aquatic",1,1995
"Daily2001","CAS",8.784285,-82.953712,25,"terrestrial",25,1995
"Daily2001","LC",8.794405,-82.971978,227,"terrestrial",25,1995
"Daily2001","LGS",8.79029,-82.986532,1,"terrestrial",25,1995
"Daily2001","LSL",8.788342,-83.000668,0.3,"terrestrial",25,1995
"Daily2001","LST",8.786205,-82.99813,0.3,"terrestrial",25,1995
"Daily2001","RRR",8.787553,-82.992616,25,"terrestrial",25,1995
"Daily2001","RT",8.78878,-82.988699,0.3,"terrestrial",25,1995
"Daily2001","UGS",8.789218,-82.987166,1,"terrestrial",25,1995
"Daily2001","VV",8.784849,-82.982363,15,"terrestrial",25,1995
"Dami2013","Avasie Agese",6.369753333,9.393696667,6.9,"terrestrial",40,2006
"Dami2013","Bakers Camp",6.419341667,9.340631667,7.6,"terrestrial",40,2006
"Dami2013","Becheve Nature Reserve",6.381511667,9.376466667,22.9,"terrestrial",40,2006
"Dami2013","Becheve Nature Reserve Extension",6.377478333,9.380135,23.3,"terrestrial",40,2006
"Dami2013","Bokas camp",6.421186667,9.353076667,4.6,"terrestrial",40,2006
"Dami2013","Emba",6.375353333,9.378011667,10.5,"terrestrial",40,2006
"Dami2013","Ettoto",6.364281667,9.379985,19.6,"terrestrial",40,2006
"Dami2013","Fulani Area",6.360633333,9.391143333,3.8,"terrestrial",40,2006
"Dami2013","Golf Course",6.374516667,9.377388333,17.8,"terrestrial",40,2006
"Dami2013","Grotto",6.374301667,9.382238333,4.2,"terrestrial",40,2006
"Dami2013","Holy Mountain",6.355055,9.384878333,9.3,"terrestrial",40,2006
"Dami2013","Intact",6.369966667,9.379685,0.8,"terrestrial",40,2006
"Dami2013","Mile One",6.376276667,9.389148333,0.9,"terrestrial",40,2006
"Dami2013","Mile One Extension",6.376683333,9.386486667,0.7,"terrestrial",40,2006
"Dami2013","Okezor",6.425178333,9.349558333,9,"terrestrial",40,2006
"Dami2013","Yaro A",6.423461667,9.350695,1.6,"terrestrial",40,2006
"Dami2013","Yaro B",6.42608,9.346211667,0.7,"terrestrial",40,2006
"Dami2013","Yaro Overside",6.424255,9.341748333,1.2,"terrestrial",40,2006
"Dami2013","Yaya A",6.361298333,9.394963333,0.5,"terrestrial",40,2006
"Dami2013","Yaya B",6.364453333,9.396486667,0.3,"terrestrial",40,2006
"Develey2004CAU","Bj",-23.71588201,-47.07285342,14,"terrestrial",NA,2000
"Develey2004CAU","Da",-23.73531707,-47.05896186,19,"terrestrial",NA,2000
"Develey2004CAU","La",-23.71567382,-47.11357659,14,"terrestrial",NA,2000
"Develey2004CAU","Li",-23.72884024,-47.11609204,29,"terrestrial",NA,2000
"Develey2004CAU","Mk",-23.72661007,-47.06076183,52,"terrestrial",NA,2000
